ISBN,Title,Author,Original Price,Discounted price,ISBN-10,Series,Published,Format,Language,Number of Pages,Audience,For Ages,For Grades,Publisher,Country of Publication,Dimensions (cm),Weight (kg),Volume Number,Edition Type,Edition Number
9780857384416,Born Fearless,Phil Campion,,12.99,0857384414,,25th September 2011,ePUB,English,352,General Adult,,,Quercus,,,,,Digital original,1
9780141908731,Alone in Berlin,Hans Fallada,,15.99,0141908734,Penguin Modern Classics,28th January 2010,ePUB,English,608,General Adult,,,Penguin Books Ltd,,,,,,
9780316310338,The Wicked King,Holly Black,,,0316310336,The Folk of the Air,8th January 2019,ePUB,English,336,Children,12 - 99 years old,7 - 17,"Little, Brown Books for Young Readers",,,,,Digital original,
9780241979075,Exit West,Mohsin Hamid,,15.99,0241979072,,2nd March 2017,ePUB,English,240,General Adult,,,Penguin Books Ltd,,,,,,
9780748123056,Let's Explore Diabetes With Owls,David Sedaris,,12.99,0748123059,,23rd April 2013,ePUB,English,288,General Adult,,,"Little, Brown Book Group",,,,,Digital original,
9781407035321,Night Watch,Terry Pratchett,,15.99,1407035320,Discworld  Book #29,1st December 2009,ePUB,English,480,General Adult,,,Transworld,,,,,,
9780748122660,Safe Haven,Nicholas Sparks,,11.99,0748122664,,2nd September 2010,ePUB,English,320,General Adult,,,"Little, Brown Book Group",,,,,Digital original,
9780307778086,The Autobiography of Saint Therese,John Beevers,22.01,17.99,0307778088,Image Classics  Book 9,26th January 2011,ePUB,English,,,,,Random House Publishing Group,,,,9,,
9780141396217,The Bhagavad Gita,Laurie L. Patton,,14.99,0141396210,,1st May 2014,ePUB,English,288,General Adult,,,Penguin Books Ltd,,,,,,
9780698151529,My Mother's Secret,J.L. Witterick,23.99,19.99,0698151526,,5th September 2013,ePUB,English,208,,,,Penguin Publishing Group,,,,,,1
9780141929682,The Language Instinct,Steven Pinker,,16.99,0141929685,,27th February 2003,ePUB,English,496,Professional and Scholarly,,,Penguin Books Ltd,,,,,,
9781101904190,The Spy and the Traitor,Ben Macintyre,,,1101904194,,18th September 2018,Hardcover,English,368,General Adult,,,Crown Publishing Group (NY),,24.77 x 16.51 x 3.81,0.67,,,
9781405525855,Ancillary Sword,Ann Leckie,,11.99,1405525851,Imperial Radch  Book 2,7th October 2014,ePUB,English,384,General Adult,,,"Little, Brown Book Group",,,,2,Digital original,
9780759509771,Harriet Tubman,Catherine Clinton,,21.99,0759509778,,2nd February 2004,ePUB,English,300,General Adult,,,"Little, Brown and Company",,,,,Digital original,
9780241258750,The Art of Statistics,David Spiegelhalter,,15.99,0241258758,Pelican Books,28th March 2019,ePUB,English,256,General Adult,,,Penguin Books Ltd,,,,,,
9780759520844,Healing Back Pain,John E. Sarno,,12.99,0759520844,,15th March 2001,ePUB,English,300,General Adult,,,Grand Central Publishing,US,,,,Digital original,
9780755355976,A Walk In The Park,Jill Mansell,,12.99,0755355970,,16th February 2012,ePUB,English,362,General Adult,,,Headline,,,,,Digital original,
9780768448887,Redeeming Your Bloodline,Hrvoje Sirovina,,32.63,0768448883,,1st May 2019,Paperback,English,224,General Adult,,,SOUND WISDOM,US,21.34 x 13.97 x 1.52,0.23,,,
9781407039657,The Lollipop Shoes (Chocolat 2),Joanne Harris,,15.99,1407039652,,6th July 2010,ePUB,English,592,General Adult,,,Transworld,,,,,,
9781405919227,Liar Liar,M. J. Arlidge,,15.99,1405919221,Detective Inspector Helen Grace  Book 4,10th September 2015,ePUB,English,314,General Adult,,,Penguin Books Ltd,,,,4,,
9780755118519,The Sleep Of Reason,C.P. Snow,,,0755118510,,16th January 2010,PDF,English,452,,,,,,,,,New,
9780141908328,A Clockwork Orange,Anthony Burgess,,15.99,0141908327,Penguin Modern Classics,4th August 2011,ePUB,English,176,General Adult,,,Penguin Books Ltd,,,,,,
9780241979457,10 Minutes 38 Seconds in this Strange World,Elif Shafak,,15.99,0241979455,,6th June 2019,ePUB,English,368,General Adult,,,Penguin Books Ltd,,,,,,
9781250198600,Midnight at the Blackbird Cafe,Heather Webber,19.50,15.99,1250198607,,16th July 2019,ePUB,English,,,,,Tor Publishing Group,,,,,,
9780753553176,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,,15.99,0753553171,,7th August 2018,ePUB,English,304,General Adult,,,Ebury Publishing,,,,,,
9780715335543,Quick & Clever Watercolor Pencils,Charles Evans,,,0715335545,,15th April 2006,PDF,English,128,General Adult,,,DAVID & CHARLES,GB,,,,,
9780141985947,The Scottish Clearances,T. M. Devine,,15.99,0141985941,,4th October 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9781401919276,Ask and It Is Given,Esther Hicks,18.34,14.99,1401919278,,1st October 2004,ePUB,English,314,,,,Hay House,,,,,,
9780141991757,No One Is Too Small to Make a Difference,Greta Thunberg,,14.99,0141991755,Green Ideas  Book 1,30th May 2019,ePUB,English,80,General Adult,,,Penguin Books Ltd,,,,1,,
9780141910338,Gypsy,Lesley Pearse,,15.99,014191033X,,14th July 2008,ePUB,English,544,General Adult,,,Penguin Books Ltd,,,,,,
9780393712384,The Polyvagal Theory in Therapy,Deb Dana,51.34,41.99,0393712389,Norton Series on Interpersonal Neurobiology  Book 0,12th June 2018,ePUB,English,,,,,W. W. Norton & Company,,,,0,,
9780761148425,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,,19.99,0761148426,,2nd July 2008,ePUB,English,203,General Adult,,,Workman Publishing Company,,,,,,
9781310198373,Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,,0.00,1310198373,,17th May 2015,ePUB,English,,,,,Talal Itani,,,,,,
9780356511511,The Gutter Prayer,Gareth Hanrahan,,12.99,0356511510,The Black Iron Legacy  Book 1,15th January 2019,ePUB,English,544,General Adult,,,"Little, Brown Book Group",,,,1,,
9780761165590,Real Happiness,Sharon Salzberg,,,0761165592,,29th December 2010,ePUB,English,250,General Adult,,,Workman Publishing Company,,,,,,
9780307426758,Astrology for the Soul,Jan Spiller,25.70,20.99,0307426750,,4th November 2009,ePUB,English,,,,,Random House Publishing Group,,,,,,
9780141904160,The Closed Circle,Jonathan Coe,,15.99,014190416X,,19th May 2008,ePUB,English,448,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9781407135281,The Hunger Games,Suzanne Collins,,,1407135287,The Hunger Games,1st March 2012,ePUB,English,,,,,Scholastic,,,,,,
